Name,Date,Followers,,,,,,,,,,,,,,,,
Eric Swalwell,27-Jun,0.0939,,,,,,,,,,,,,,,,
Joe Biden,27-Jun,3.607,,,,,,,,,,,,,,,,
John Hickenlooper,27-Jun,0.147,,,,,,,,,,,,,,,,
Kamala Harris,27-Jun,2.729,,,,,,,,,,,,,,,,
Kirsten Gillibrand,27-Jun,1.428,,,,,,,,,,,,,,,,
Marianne Williamson,27-Jun,2.621,,,,,,,,,,,,,,,,
Michael Bennet,27-Jun,0.0234,,,,,,,,,,,,,,,,
Pete Buttigieg,27-Jun,1.159,,,,,,,,,,,,,,,,
Andrew Yang,28-Jun,0.454,,,,,,,,,,,,,,,,
Bernie Sanders,28-Jun,9.349,,,,,,,,,,,,,,,,
Eric Swalwell,28-Jun,0.0961,,,,,,,,,,,,,,,,
Joe Biden,28-Jun,3.611,,,,,,,,,,,,,,,,
John Hickenlooper,28-Jun,0.148,,,,,,,,,,,,,,,,
Kamala Harris,28-Jun,2.795,,,,,,,,,,,,,,,,
Kirsten Gillibrand,28-Jun,1.432,,,,,,,,,,,,,,,,
Marianne Williamson,28-Jun,2.657,,,,,,,,,,,,,,,,
Michael Bennet,28-Jun,0.0247,,,,,,,,,,,,,,,,
Pete Buttigieg,28-Jun,1.204,,,,,,,,,,,,,,,,
Andrew Yang,29-Jun,0.484,,,,,,,,,,,,,,,,
Bernie Sanders,29-Jun,9.353,,,,,,,,,,,,,,,,
Eric Swalwell,29-Jun,0.0966,,,,,,,,,,,,,,,,
Joe Biden,29-Jun,3.613,,,,,,,,,,,,,,,,
John Hickenlooper,29-Jun,0.149,,,,,,,,,,,,,,,,
Kamala Harris,29-Jun,2.813,,,,,,,,,,,,,,,,
Kirsten Gillibrand,29-Jun,1.434,,,,,,,,,,,,,,,,
Marianne Williamson,29-Jun,2.671,,,,,,,,,,,,,,,,
Michael Bennet,29-Jun,0.025,,,,,,,,,,,,,,,,
Pete Buttigieg,29-Jun,1.216,,,,,,,,,,,,,,,,
Andrew Yang,30-Jun,0.495,,,,,,,,,,,,,,,,
Bernie Sanders,30-Jun,9.357,,,,,,,,,,,,,,,,
Eric Swalwell,30-Jun,0.0969,,,,,,,,,,,,,,,,
Joe Biden,30-Jun,3.615,,,,,,,,,,,,,,,,
John Hickenlooper,30-Jun,0.149,,,,,,,,,,,,,,,,
Kamala Harris,30-Jun,2.831,,,,,,,,,,,,,,,,
Kirsten Gillibrand,30-Jun,1.435,,,,,,,,,,,,,,,,
Marianne Williamson,30-Jun,2.675,,,,,,,,,,,,,,,,
Michael Bennet,30-Jun,0.0251,,,,,,,,,,,,,,,,
Pete Buttigieg,30-Jun,1.225,,,,,,,,,,,,,,,,
Amy Klobuchar,7-Jul,0.724,,,43653,,,,,,,,,,,,,
Andrew Yang,7-Jul,0.523,,,,,,,,,,,,,,,,
Bernie Sanders,7-Jul,9.372,,,,,,,,,,,,,,,,
Beto O'Rourke,7-Jul,1.438,,,,,,,,,,,,,,,,
Bill De Blasio,7-Jul,0.162,,,,,,,,,,,,,,,,
Cory Booker,7-Jul,4.295,,,,,,,,,,,,,,,,
Elizabeth Warren,7-Jul,5.143,,,,,,,,,,,,,,,,
Eric Swalwell,7-Jul,0.0985,,,,,,,,,,,,,,,,
Jay Inslee,7-Jul,0.074,,,,,,,,,,,,,,,,
Joe Biden,7-Jul,3.619,,,,,,,,,,,,,,,,
John Delaney,7-Jul,0.0266,,,,,,,,,,,,,,,,
John Hickenlooper,7-Jul,0.15,,,,,,,,,,,,,,,,
Julian Castro,7-Jul,0.324,,,,,,,,,,,,,,,,
Kamala Harris,7-Jul,2.889,,,,,,,,,,,,,,,,
Kirsten Gillibrand,7-Jul,1.439,,,,,,,,,,,,,,,,
Marianne Williamson,7-Jul,2.696,,,,,,,,,,,,,,,,
Michael Bennet,7-Jul,0.0255,,,,,,,,,,,,,,,,
Mike Gravel,7-Jul,0.116,,,,,,,,,,,,,,,,
Pete Buttigieg,7-Jul,1.253,,,,,,,,,,,,,,,,
Seth Moulton,7-Jul,0.143,,,,,,,,,,,,,,,,
Steve Bullock,7-Jul,0.177,,,,,,,,,,,,,,,,
Tim Ryan,7-Jul,0.0257,,,,,,,,,,,,,,,,
Tulsi Gabbard,7-Jul,0.426,,,,,,,,,,,,,,,,
Amy Klobuchar,12-Jul,0.727,,,,,,,,,,,,,,,,
Andrew Yang,12-Jul,0.524,,,,,,,,,,,,,,,,
Bernie Sanders,12-Jul,9.381,,,,,,,,,,,,,,,,
Beto O'Rourke,12-Jul,1.437,,,,,,,,,,,,,,,,
Bill De Blasio,12-Jul,0.163,,,,,,,,,,,,,,,,
Cory Booker,12-Jul,4.298,,,,,,,,,,,,,,,,
Elizabeth Warren,12-Jul,5.158,,,,,,,,,,,,,,,,
Jay Inslee,12-Jul,0.0746,,,,,,,,,,,,,,,,
Joe Biden,12-Jul,3.619,,,,,,,,,,,,,,,,
John Delaney,12-Jul,0.0269,,,,,,,,,,,,,,,,
John Hickenlooper,12-Jul,0.15,,,,,,,,,,,,,,,,
Julian Castro,12-Jul,0.326,,,,,,,,,,,,,,,,
Kamala Harris,12-Jul,2.911,,,,,,,,,,,,,,,,
Kirsten Gillibrand,12-Jul,1.441,,,,,,,,,,,,,,,,
Marianne Williamson,12-Jul,2.701,,,,,,,,,,,,,,,,
Michael Bennet,12-Jul,0.026,,,,,,,,,,,,,,,,
Mike Gravel,12-Jul,0.119,,,,,,,,,,,,,,,,
Pete Buttigieg,12-Jul,1.264,,,,,,,,,,,,,,,,
Seth Moulton,12-Jul,0.144,,,,,,,,,,,,,,,,
Steve Bullock,12-Jul,0.177,,,,,,,,,,,,,,,,
Tim Ryan,12-Jul,0.0259,,,,,,,,,,,,,,,,
Tom Steyer,12-Jul,0.24,,,,,,,,,,,,,,,,
Tulsi Gabbard,12-Jul,0.43,,,,,,,,,,,,,,,,
Amy Klobuchar,7/19/19,0.73,,,,,,,,,,,,,,,,
Andrew Yang,7/19/19,0.529,,,,,,,,,,,,,,,,
Bernie Sanders,7/19/19,9.404,,,,,,,,,,,,,,,,
Beto O'Rourke,7/19/19,1.44,,,,,,,,,,,,,,,,
Bill De Blasio,7/19/19,0.163,,,,,,,,,,,,,,,,
Cory Booker,7/19/19,4.301,,,,,,,,,,,,,,,,
Elizabeth Warren,7/19/19,5.185,,,,,,,,,,,,,,,,
Jay Inslee,7/19/19,0.0755,,,,,,,,,,,,,,,,
Joe Biden,7/19/19,3.625,,,,,,,,,,,,,,,,
John Delaney,7/19/19,0.0273,,,,,,,,,,,,,,,,
John Hickenlooper,7/19/19,0.15,,,,,,,,,,,,,,,,
Julian Castro,7/19/19,0.329,,,,,,,,,,,,,,,,
Kamala Harris,7/19/19,2.957,,,,,,,,,,,,,,,,
Kirsten Gillibrand,7/19/19,1.446,,,,,,,,,,,,,,,,
Marianne Williamson,7/19/19,2.706,,,,,,,,,,,,,,,,
Michael Bennet,7/19/19,0.0265,,,,,,,,,,,,,,,,
Mike Gravel,7/19/19,0.124,,,,,,,,,,,,,,,,
